college_id,college_name,place,phone_number,email
1696,Government Medical College & Hospital,Thenkasi,9250292127,GovernmentMedicalCollege&Hospital@gmail.com
1768,Government Medical College & Hospital,Kancheepuram,9358244242,GovernmentMedicalCollege&Hospital@gmail.com
2195,Government Medical College & Hospital,Nagapattinam,8516693044,GovernmentMedicalCollege&Hospital@gmail.com
1927,Government Medical College & Hospital,Virudhunagar,9832649455,GovernmentMedicalCollege&Hospital@gmail.com
2630,Government Medical College & Hospital,Namakkal,8076716713,GovernmentMedicalCollege&Hospital@gmail.com
2543,Government Medical College & Hospital,Krishnagiri,8244897801,GovernmentMedicalCollege&Hospital@gmail.com
2874,Government Medical College & Hospital,Tiruppur,9649087948,GovernmentMedicalCollege&Hospital@gmail.com
2308,Government Medical College & Hospital,Perambalur,8754756230,GovernmentMedicalCollege&Hospital@gmail.com
2564,Government Medical College & Hospital,Tiruvallur,7705767363,GovernmentMedicalCollege&Hospital@gmail.com
1938,Government Medical College & Hospital,Poonamallee,9123548847,GovernmentMedicalCollege&Hospital@gmail.com
2233,Government Medical College & Hospital,Tirupathur,9028872654,GovernmentMedicalCollege&Hospital@gmail.com
2189,Saveetha Medical College and Hospital,Kanchipuram,9616936281,SaveethaMedicalCollegeandHospital@gmail.com
2478,Sri Ramachandra Medical College and Research Institute,Chennai,9499727360,SriRamachandraMedicalCollegeandResearchInstitute@gmail.com
2241,SRM Medical College Hospital and Research Centre,Chennai,8418951345,SRMMedicalCollegeHospitalandResearchCentre@gmail.com
2959,Chettinad Hospital and Research Institute,Kanchipuram,7641251009,ChettinadHospitalandResearchInstitute@gmail.com
1642,ACS Medical College and Hospital,Chennai,9317419711,ACSMedicalCollegeandHospital@gmail.com
1530,Vinayaka Missions Medical College,Salem,7732932916,VinayakaMissionsMedicalCollege@gmail.com
2935,Karpaga Vinayaga Institute of Medical Sciences,Kanchipuram,9560072419,KarpagaVinayagaInstituteofMedicalSciences@gmail.com
2429,Shri Satya Sai Medical College and Research Institute,Kancheepuram,9210100081,ShriSatyaSaiMedicalCollegeandResearchInstitute@gmail.com
1591,PSG Institute of Medical Sciences and Research,Coimbatore,9689336444,PSGInstituteofMedicalSciencesandResearch@gmail.com
2474,Tagore Medical College and Hospital,Chennai,8178805200,TagoreMedicalCollegeandHospital@gmail.com
2497,Velammal Medical College Hospital and Research Institute,Madurai,8157990264,VelammalMedicalCollegeHospitalandResearchInstitute@gmail.com
2815,Melmaruvathur Adhiparasakthi Institute of Medical Sciences and Research,Kancheepuram,9342571951,MelmaruvathurAdhiparasakthiInstituteofMedicalSciencesandResearch@gmail.com
1649,Dhanalakshmi Srinivasan Medical College and Hospital,Perambalur,7647877606,DhanalakshmiSrinivasanMedicalCollegeandHospital@gmail.com
1763,Annapoorna Medical College and Hospital,Salem,8565795021,AnnapoornaMedicalCollegeandHospital@gmail.com
2645,Sree Mookambika Institute of Medical Sciences,Kanyakumari,8075019030,SreeMookambikaInstituteofMedicalSciences@gmail.com
2683,Sri Muthukumaran Medical College Hospital and Research Institute,Chennai,9660696980,SriMuthukumaranMedicalCollegeHospitalandResearchInstitute@gmail.com
1613,Madha Medical College and Hospital,Chennai,7990946302,MadhaMedicalCollegeandHospital@gmail.com
2284,Christian Medical College,Vellore,9562772541,ChristianMedicalCollege@gmail.com
2800,Apollo Institute of Medical Sciences and Research,Chennai,8262337726,ApolloInstituteofMedicalSciencesandResearch@gmail.com
